AGNT_EMP_NO,HIRE_DT,PARTNER,SITE_DESC,LOCATION,NO_DAYS_AFTER_HIRE,FLAG_ATTRITION,PASS_FAIL,Month1Diff,Month2Diff,Month3Diff,Month4Diff,Month5Diff,Month6Diff,Month7Diff,Month8Diff,Month9Diff,Month10Diff,Month11Diff,Month12Diff,LockDiff,RESULTS,LOB,PF_SEGMENT_QUARTILE1,PF_SEGMENT_QUARTILE2,PF_SEGMENT_QUARTILE3,PF_SEGMENT_QUARTILE4,PF_SEGMENT_QUARTILE5,PF_SEGMENT_QUARTILE6,PF_SEGMENT_QUARTILE7,PF_SEGMENT_QUARTILE8,PF_SEGMENT_QUARTILE9,PF_SEGMENT_QUARTILE10,PF_SEGMENT_QUARTILE11,PF_SEGMENT_QUARTILE12,ABT_AHT1,ABT_AHT2,ABT_AHT3,ABT_AHT4,ABT_AHT5,ABT_AHT6,ABT_AHT7,ABT_AHT8,ABT_AHT9,ABT_AHT10,ABT_AHT11,ABT_AHT12,FCR71,FCR72,FCR73,FCR74,FCR75,FCR76,FCR77,FCR78,FCR79,FCR710,FCR711,FCR712,SR_60D1,SR_60D2,SR_60D3,SR_60D4,SR_60D5,SR_60D6,SR_60D7,SR_60D8,SR_60D9,SR_60D10,SR_60D11,SR_60D12,AGNT_SEGMENT_NM_Month_1,AGNT_SEGMENT_NM_Month_2,AGNT_SEGMENT_NM_Month_3,AGNT_SEGMENT_NM_Month_4,AGNT_SEGMENT_NM_Month_5,AGNT_SEGMENT_NM_Month_6,AGNT_SEGMENT_NM_Month_7,AGNT_SEGMENT_NM_Month_8,AGNT_SEGMENT_NM_Month_9,AGNT_SEGMENT_NM_Month_10,AGNT_SEGMENT_NM_Month_11,AGNT_SEGMENT_NM_Month_12,AGNT_SEGMENT_NM_Month_13,DEPT_NM_Month_1,DEPT_NM_Month_2,DEPT_NM_Month_3,DEPT_NM_Month_4,DEPT_NM_Month_5,DEPT_NM_Month_6,DEPT_NM_Month_7,DEPT_NM_Month_8,DEPT_NM_Month_9,DEPT_NM_Month_10,DEPT_NM_Month_11,DEPT_NM_Month_12,DEPT_NM_Month_13
EZ24620,27-Jul-17,Quantrics,Quantrics - Taytay,OFFSHORE,139,1,PASS,-177,-149,-118,-88,-57,-27,4,35,65,96,126,157,-87,RECOMMENDED WITH RESERVATION,BRS,,,,,,,4,3,2,4,4,2,,,,,,,867.342465,885.213051,918.849816,694.1921,793.740099,850.231638,,,,,,,0.71831,0.557505,0.496241,0.478418,0.539043,0.552326,,,,,,,,,,,,0.949906,,,,,,,,Uno BTV,Uno BTV,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,,Care,Care,Care,Care,Care,Care
EZ24621,08-Aug-17,Quantrics,Quantrics - Taytay,OFFSHORE,0,0,PASS,-189,-161,-130,-100,-69,-39,-8,23,53,84,114,145,-99,RECOMMENDED WITH RESERVATION,BRS,,,,,,,,4,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BackOffice Group 10 OFA,BackOffice Group 10 OFA,BackOffice Group 10 OFA,BackOffice Group 10 OFA,BackOffice Group 10 OFA,,,,,,,,,Tech Support,Tech Support,Tech Support,Tech Support,Tech Support
EZ24622,19-Jul-17,Quantrics,Quantrics - Taytay,OFFSHORE,0,0,PASS,-169,-141,-110,-80,-49,-19,12,43,73,104,134,165,-79,RECOMMENDED WITH RESERVATION,BM,,,,,,,,4,1,1,1,3,,,,,,,,676.240343,541.137481,476.191842,508.588235,623.004683,,,,,,,,0.56087,0.686677,0.708783,0.719212,0.593668,,,,,,,,,,0.963894,0.967017,0.960605,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24624,27-Jul-17,Quantrics,Quantrics - Taytay,OFFSHORE,0,0,PASS,-177,-149,-118,-88,-57,-27,4,35,65,96,126,157,-87,STRONGLY RECOMMENDED,BRS,,,,,,,4,1,1,3,4,3,,,,,,,861.780821,774.029702,770.152577,690.496788,773.032407,668.206204,,,,,,,0.619719,0.598998,0.557173,0.631466,0.56368,0.567468,,,,,,,,,,,0.957776,0.968015,,,,,,,,Uno BTV,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,,Care,Care,Care,Care,Care,Care
EZ24625,27-Jul-17,Quantrics,Quantrics - Taytay,OFFSHORE,139,1,PASS,-177,-149,-118,-88,-57,-27,4,35,65,96,126,157,-87,RECOMMENDED,BRS,,,,,,,4,3,2,3,4,3,,,,,,,787.610389,776.688442,718.55298,684.623931,653.723658,656.683794,,,,,,,0.552632,0.556314,0.55,0.490323,0.5,0.487805,,,,,,,,,,,,0.950082,,,,,,,,Uno BTV,Uno BTV,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,,,Care,Care,Care,Care,Care,Care
EZ24647,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,55,1,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,,,,,,,,,,,988.953488,679.317399,,,,,,,,,,,0.593024,0.59961,,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,,,,,,,,,,,,Consumer Care,Consumer Care,,,,
EZ24649,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,63,1,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,,,,,,,,,,,851.216867,620.559509,,,,,,,,,,,0.4875,0.642226,,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,,,,,,,,,,,,Consumer Care,Consumer Care,,,,
EZ24651,03-Jul-17,,Sitel - Rabat,OFFSHORE,0,0,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24652,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,63,1,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,BM,,,,,,,3,4,4,,,,,,,,,,1211.129032,911.52888,755.140625,,,,,,,,,,0.693549,0.643116,0.603175,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,,,,,,,,,,,,Consumer Care,Consumer Care,,,,
EZ24657,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,0,0,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,3,1,1,1,1,,,,,,,825.427184,642.962841,446.04418,409.075098,449.793604,227.875,,,,,,,0.6,0.693157,0.741217,0.76611,0.759883,0.75,,,,,,,,,,0.961085,0.962023,0.947264,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24658,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,0,0,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED,BM,,,,,,,4,4,1,1,1,2,,,,,,,836.47191,576.281596,460.064893,446.778438,470.36716,586.900862,,,,,,,0.579546,0.609481,0.669935,0.763637,0.751459,0.671491,,,,,,,,,,0.947944,0.955007,0.962473,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24660,03-Jul-17,Sitel,Sitel - Rabat,OFFSHORE,91,1,PASS,-153,-125,-94,-64,-33,-3,28,59,89,120,150,181,-63,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,,,,,,,,,,1112.477611,889.326594,623.972927,,,,,,,,,,0.742425,0.634461,0.596859,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,,,
EZ24661,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,4,4,4,4,3,3,,,,,,,615.816,682.973154,625.025899,543.008974,505.322469,566.430232,,,,,,,0.532259,0.545612,0.548763,0.594034,0.587814,0.565611,,,,,,,,,0.957686,0.950822,0.967448,0.959926,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24662,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,185,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,4,4,4,,,,,,,985.68421,916.328358,668.311888,616.487096,612.28445,714.824137,,,,,,,0.663158,0.618488,0.63688,0.628665,0.627728,0.611006,,,,,,,,,0.95535,0.952788,0.95315,0.95341,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24663,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,138,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,3,4,,,,,,,,,865.622641,780.003048,639.851752,625.008948,,,,,,,,,0.542858,0.636223,0.659808,0.65991,,,,,,,,,,,0.949256,0.972565,,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,
EZ24664,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,3,2,1,1,,,,,,,868.338709,654.971153,602.880893,572.126943,488.517978,484.861353,,,,,,,0.601627,0.602494,0.6804,0.689974,0.709901,0.687655,,,,,,,,,0.962203,0.960664,0.963465,0.944553,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24665,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,155,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,3,3,2,1,,,,,,,,632.259615,533.320063,470.627906,501.105769,529.571428,,,,,,,,0.538462,0.5781,0.635751,0.697496,0.857143,,,,,,,,,,0.956615,0.952101,0.971298,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,
EZ24666,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,1,1,1,1,1,,,,,,,873.896226,613.323027,529.137387,512.833333,,,,,,,,,0.60577,0.707344,0.714447,0.783851,0.860092,0.902174,,,,,,,,,0.962069,0.965428,,,,,,,,,Consumer,Consumer,Consumer,Consumer,Client Solutions,Client Solutions,Client Solutions,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Loyalty Inbound,Loyalty Inbound,Loyalty Inbound
EZ24667,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,171,1,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,4,4,4,4,4,2,,,,,,,1209.266666,889.726166,787.841243,653.363367,612.200636,568.45547,,,,,,,0.573334,0.644172,0.639073,0.696108,0.662885,0.648438,,,,,,,,,0.949319,0.963928,0.967733,0.954774,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,
EZ24670,15-May-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-104,-76,-45,-15,16,46,77,108,138,169,199,230,-14,NOT RECOMMENDED,BRS,,,,,,,,4,2,2,2,1,,,,,,,,1009.080385,850.343511,830.041904,800.252631,757.676236,,,,,,,,0.525975,0.653847,0.643546,0.614665,0.701955,,,,,,,,,0.935544,0.944341,0.934291,0.943818,,,,,,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,Trio L1,,,,,,Care,Care,Care,Care,Care,Care,Care,Care
EZ24671,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,179,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,4,4,2,1,,,,,,,944.206896,749.455576,726.684931,609.424749,632.598591,697.39759,,,,,,,0.639535,0.669217,0.676675,0.629006,0.696173,0.790795,,,,,,,,,0.955879,0.962153,0.960143,0.951703,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24672,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,203,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,4,4,4,,,,,,,,672.926174,554.122166,453.413934,386.12189,455.09137,,,,,,,,0.585035,0.627055,0.538675,0.524174,0.549223,,,,,,,,,,0.946167,0.967181,0.967234,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24673,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,4,4,4,4,4,3,,,,,,,1456.506666,1050.495884,758.531302,662.741654,688.224371,746.108786,,,,,,,0.662163,0.615385,0.656947,0.63811,0.630219,0.659193,,,,,,,,,0.949098,0.959921,0.963506,0.947038,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24674,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,2,1,1,,,,,,,1087.278481,693.529243,545.325153,525.257242,474.822869,497.223364,,,,,,,0.641026,0.622669,0.646692,0.677231,0.690286,0.649338,,,,,,,,,0.957309,0.957726,0.966291,0.947675,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24675,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,3,4,3,3,,,,,,,1037.05,749.081861,708.99841,661.082142,588.946052,633.655086,,,,,,,0.656566,0.62215,0.690822,0.679348,0.652407,0.610584,,,,,,,,,0.943745,0.958231,0.966144,0.931815,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24676,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,3,4,,,,,,,,1163.4,825.729349,674.059233,596.333333,579.780889,,,,,,,,0.566266,0.616608,0.620812,0.682796,0.606113,,,,,,,,,,0.961674,0.968435,0.96392,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24678,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,3,2,2,,,,,,,1003.054545,626.117942,625.727146,587.699453,541.33249,596.926506,,,,,,,0.541285,0.593393,0.634832,0.647868,0.674389,0.661334,,,,,,,,,0.958078,0.962331,0.962884,0.951876,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24679,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,3,3,4,3,4,,,,,,,881.974789,648.66618,587.077975,576.68796,495.513219,571.414141,,,,,,,0.593221,0.664689,0.626908,0.670793,0.615263,0.571429,,,,,,,,,0.955607,0.952709,0.95957,0.946147,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24680,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,110,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,,,,,,,,,,,972.525252,709.650099,,,,,,,,,,,0.546392,0.594759,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,,
EZ24681,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,84,1,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,3,4,4,,,,,,,,,,1549.916666,986.988888,807.567251,,,,,,,,,,0.777778,0.605382,0.562131,,,,,,,,,,,,0.958144,,,,,,,,,,Consumer,Consumer,Consumer,,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,,,,
EZ24684,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,94,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,,,,,,,,,,,1117.948453,670.873469,,,,,,,,,,,0.521277,0.578513,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,,
EZ24685,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,4,4,3,,,,,,,1103.185714,894.895322,786.16952,696.926493,660.654061,650.790841,,,,,,,0.642858,0.656951,0.626737,0.607752,0.641429,0.626944,,,,,,,,,0.952769,0.95789,0.962465,0.936575,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24686,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,202,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,2,3,3,1,,,,,,,1078.743902,794.118518,613.392523,569.317275,563.245059,564.957711,,,,,,,0.62963,0.627341,0.674529,0.667786,0.664457,0.683247,,,,,,,,,0.955158,0.94777,0.959446,0.957692,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24687,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,4,4,4,3,3,3,,,,,,,1497.181818,902.347368,782.910493,673.267405,621.075641,687.021251,,,,,,,0.779221,0.669027,0.686336,0.714744,0.672751,0.649146,,,,,,,,,0.952403,0.962243,0.964818,0.939953,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24688,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,176,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,3,2,1,1,1,,,,,,,1038.032608,668.274701,561.261111,584.502145,525.658276,489.658362,,,,,,,0.652174,0.642071,0.683989,0.746763,0.770508,0.784906,,,,,,,,,0.963825,0.972221,0.956504,0.95179,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,
EZ24689,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,202,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,STRONGLY RECOMMENDED,BM,,,,,,,4,4,4,4,4,3,,,,,,,1209,774.272314,640,648.770833,619.836849,604.007782,,,,,,,0.64557,0.660523,0.672993,0.644958,0.621622,0.614036,,,,,,,,,0.954435,0.958566,0.961974,0.942907,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24690,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,2,3,3,3,3,,,,,,,808.716535,607.566011,641.93557,602.740219,538.657786,618.920962,,,,,,,0.64,0.68759,0.699595,0.700788,0.675733,0.647991,,,,,,,,,0.958918,0.956629,0.962413,0.951775,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24691,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,FAIL,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,NOT RECOMMENDED,BM,,,,,,,4,4,4,4,2,3,,,,,,,866.25,714.968553,667.07,580.217008,637.72122,708.40712,,,,,,,0.695653,0.626795,0.654301,0.627597,0.695775,0.653131,,,,,,,,,0.956092,0.958221,0.971717,0.963013,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24692,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,64,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,,,,,,,,,,,1128.836956,792.130612,,,,,,,,,,,0.571429,0.614433,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,,
EZ24693,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,4,2,3,2,,,,,,,982.463157,742.453407,642.436314,567.850821,562.003745,590.130853,,,,,,,0.642106,0.629056,0.636115,0.711735,0.636709,0.659155,,,,,,,,,0.961225,0.965844,0.961077,0.95302,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24694,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,0,0,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,4,4,2,2,,,,,,,1159.686567,994.997757,795.516183,636.826815,587.672279,637.572629,,,,,,,0.681819,0.671202,0.635739,0.659545,0.733246,0.71336,,,,,,,,,0.960662,0.964928,0.966743,0.946857,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24695,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,111,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,4,,,,,,,,,,901.768421,864.496932,743.439393,,,,,,,,,,0.578948,0.61031,0.608248,,,,,,,,,,,,0.942911,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,,
EZ24696,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,185,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,4,4,4,4,3,,,,,,,1199.054794,976.429824,886.557734,669.485179,614.857318,641.495543,,,,,,,0.575343,0.636772,0.624725,0.690852,0.663342,0.663425,,,,,,,,,0.955888,0.960811,0.966551,0.948669,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
EZ24697,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,134,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED,BM,,,,,,,4,4,,,,,,,,,,,1123.247191,791.984375,,,,,,,,,,,0.586207,0.567824,,,,,,,,,,,,,,,,,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,,
EZ24698,29-Jun-17,IQOR,IQOR - Philippines - ILOILO,OFFSHORE,202,1,PASS,-149,-121,-90,-60,-29,1,32,63,93,124,154,185,-59,RECOMMENDED WITH RESERVATION,BM,,,,,,,4,3,3,3,1,1,,,,,,,988.164835,794.556485,681.429763,602.860335,529.995959,527.336079,,,,,,,0.555556,0.691115,0.69425,0.68864,0.715606,0.700382,,,,,,,,,0.954299,0.963724,0.955042,0.938525,,,,,,,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,Consumer,,,,,,,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care,Consumer Care
